Title,Author,Movement,GutenbergID,IsProse
"The Unfortunate Traveller, or The Life of Jack Wilton",Thomas Nash,Renaissance,21338,True
Cape Cod,Henry David Thoreau,Transcendentalism,34392,True
The Life of Lazarillo de Tormes,Anonymous,Renaissance,53489,True
The Praise of Folly,Desiderius Erasmus,Renaissance,9371,True
"The Heptameron of Margaret, Queen of Navarre",Marguerite de Navarre,Renaissance,28858,True
The Colloquies of Erasmus,Desiderius Erasmus,Renaissance,16711,True
The Education of a Christian Prince,Desiderius Erasmus,Renaissance,31670,True
The Ship of Fools,Sebastian Brant,Renaissance,20179,True
The History of the Valorous and Wittie Knight-Errant Don Quixote of the Mancha,Miguel de Cervantes,Renaissance,5921,True
The Autobiography of Benvenuto Cellini,Benvenuto Cellini,Renaissance,3608,True
Mary: A Fiction,Mary Wollstonecraft,Romanticism,16357,True
Zastrozzi: A Romance,Percy Bysshe Shelley,Romanticism,22056,True
The Prose Writings of Heinrich Heine,Heinrich Heine,Romanticism,37478,True
Der Runenberg,Ludwig Tieck,Romanticism,20058,True
The Marble Statue (Das Marmorbild),Joseph von Eichendorff,Romanticism,20059,True
Titan,Jean Paul,Romanticism,20060,True
The Last Man,Mary Shelley,Romanticism,18247,True
The Confessions of an English Opium-Eater,Thomas De Quincey,Romanticism,2040,True
The Spirit of Beauty,Ralph Waldo Emerson,Transcendentalism,24297,True
Society and Solitude,Ralph Waldo Emerson,Transcendentalism,7164,True
Emerson and Thoreau: Selections and Commentary,Various,Transcendentalism,31337,True
The Last Days of John Brown,Henry David Thoreau,Transcendentalism,42514,True
Reform and the Reformers,Henry David Thoreau,Transcendentalism,50774,True
Conversations with Goethe,J.P. Eckermann,Romanticism,46407,True
Record of a School,Elizabeth Peabody,Transcendentalism,63573,True
The Christian Examiner (Selections),Various (includes Emerson/Fuller),Transcendentalism,43803,True
Prayers,Ralph Waldo Emerson,Transcendentalism,12666,True
The Service,Henry David Thoreau,Transcendentalism,42515,True
Transcendental Wild Oats,Louisa May Alcott,Transcendentalism,37947,True
The Senses and the Soul,Margaret Fuller,Transcendentalism,7207,True
Letters from Emerson to a Friend,Ralph Waldo Emerson,Transcendentalism,14399,True
Nature,Ralph Waldo Emerson,Transcendentalism,29433,True
Self-Reliance,Ralph Waldo Emerson,Transcendentalism,16643,True
The American Scholar,Ralph Waldo Emerson,Transcendentalism,2004,True
The Over-Soul,Ralph Waldo Emerson,Transcendentalism,24299,True
The Conduct of Life,Ralph Waldo Emerson,Transcendentalism,7165,True
Essays: First Series,Ralph Waldo Emerson,Transcendentalism,2428,True
Essays: Second Series,Ralph Waldo Emerson,Transcendentalism,2944,True
Civil Disobedience,Henry David Thoreau,Transcendentalism,71,True
Walden,Henry David Thoreau,Transcendentalism,205,True
A Week on the Concord and Merrimack Rivers,Henry David Thoreau,Transcendentalism,55829,True
Walking,Henry David Thoreau,Transcendentalism,1022,True
Letters to Various Persons,Louisa May Alcott,Transcendentalism,37948,True
Woman in the Nineteenth Century,Margaret Fuller,Transcendentalism,7211,True
Summer on the Lakes,Margaret Fuller,Transcendentalism,7208,True
Lectures and Biographical Sketches,Ralph Waldo Emerson,Transcendentalism,12897,True
The Dial (Vol. I–IV),"Emerson, Fuller, Thoreau",Transcendentalism,13725,True
The Soul,Emerson/Thoreau (Collected),Transcendentalism,15997,True
The Spirit of the Age,William Hazlitt,Romanticism,3020,True
La Terre (The Earth),Émile Zola,Naturalism,50991,True
The Debacle (La Débâcle),Émile Zola,Naturalism,50993,True
The Downfall,Émile Zola,Naturalism,7120,True
Yvette,Guy de Maupassant,Naturalism,3090,True
Bel-Ami,Guy de Maupassant,Naturalism,3733,True
Pierre and Jean,Guy de Maupassant,Naturalism,2445,True
The Mayor of Casterbridge,Thomas Hardy,Naturalism,143,True
The Return of the Native,Thomas Hardy,Naturalism,122,True
The Man Who Had Everything,Rudyard Kipling,Naturalism,25078,True
Under the Greenwood Tree,Thomas Hardy,Naturalism,332,True
The Strength of the Strong,Jack London,Naturalism,10869,True
South Sea Tales,Jack London,Naturalism,16221,True
The Valley of the Moon,Jack London,Naturalism,14658,True
The Apostate,Jack London,Naturalism,744,True
The Marrow of Tradition,Charles W. Chesnutt,Naturalism,11215,True
Germinal,Émile Zola,Naturalism,1680,True
Thérèse Raquin,Émile Zola,Naturalism,17494,True
L'Assommoir,Émile Zola,Naturalism,50974,True
Nana,Émile Zola,Naturalism,39408,True
The Red Badge of Courage,Stephen Crane,Naturalism,73,True
Maggie: A Girl of the Streets,Stephen Crane,Naturalism,447,True
McTeague,Frank Norris,Naturalism,165,True
The Octopus: A Story of California,Frank Norris,Naturalism,10545,True
Sister Carrie,Theodore Dreiser,Naturalism,233,True
Jennie Gerhardt,Theodore Dreiser,Naturalism,28988,True
The Financier,Theodore Dreiser,Naturalism,8332,True
The Awakening,Kate Chopin,Naturalism,160,True
The House of Mirth,Edith Wharton,Naturalism,284,True
Ethan Frome,Edith Wharton,Naturalism,4517,True
Tess of the d’Urbervilles,Thomas Hardy,Naturalism,110,True
Jude the Obscure,Thomas Hardy,Naturalism,153,True
Martin Eden,Jack London,Naturalism,1056,True
The Iron Heel,Jack London,Naturalism,1688,True
