Title,Author,Movement,GutenbergID,IsProse
The Praise of Folly,Desiderius Erasmus,Renaissance,9371,True
Mary: A Fiction,Mary Wollstonecraft,Romanticism,16357,True
The Prose Writings of Heinrich Heine,Heinrich Heine,Romanticism,37478,True
The Last Man,Mary Shelley,Romanticism,18247,True
The Confessions of an English Opium-Eater,Thomas De Quincey,Romanticism,2040,True
Nature,Ralph Waldo Emerson,Transcendentalism,29433,True
Walking,Henry David Thoreau,Transcendentalism,1022,True
Bel-Ami,Guy de Maupassant,Naturalism,3733,True
The Return of the Native,Thomas Hardy,Naturalism,122,True
Maggie: A Girl of the Streets,Stephen Crane,Naturalism,447,True
McTeague,Frank Norris,Naturalism,165,True
Sister Carrie,Theodore Dreiser,Naturalism,233,True
The House of Mirth,Edith Wharton,Naturalism,284,True
Ethan Frome,Edith Wharton,Naturalism,4517,True
Tess of the d’Urbervilles,Thomas Hardy,Naturalism,110,True
Jude the Obscure,Thomas Hardy,Naturalism,153,True
Martin Eden,Jack London,Naturalism,1056,True
The Sorrows of Young Werther,Johann Wolfgang von Goethe,Romanticism,2527,True
Everyman,Anonymous,Renaissance,19806,True
The Countess of Pembroke's Arcadia,Philip Sidney,Renaissance,70854,True
The Prince,Niccolò Machiavelli,Renaissance,1232,True
Utopia,Thomas More,Renaissance,2130,True
The Schoolmaster,Roger Ascham,Renaissance,1844,True
Frankenstein,Mary Shelley,Gothicism,84,True
The Woman in White,Wilkie Collins,Gothicism,583,True
The Scarlet Letter,Nathaniel Hawthorne,Gothicism,33,True
The Corsair,Lord Byron,Romanticism,66466,True
Middlemarch,George Eliot,Realism,145,True
The Adventures of Tom Sawyer,Mark Twain,Realism,74,True
Madame Bovary,Gustave Flaubert,Realism,2413,True
Anna Karenina,Leo Tolstoy,Realism,1399,True
The Portrait of a Lady,Henry James,Realism,2833,True
The Jungle,Upton Sinclair,Naturalism,140,True
Dracula,Bram Stoker,Gothicism,345,True
The Picture of Dorian Gray,Oscar Wilde,Gothicism,174,True
Wuthering Heights,Emily Brontë,Gothicism,768,True
The Turn of the Screw,Henry James,Gothicism,209,True
The Castle of Otranto,Horace Walpole,Gothicism,696,True
The Mysteries of Udolpho,Ann Radcliffe,Gothicism,3268,True
The Monk,Matthew G. Lewis,Gothicism,601,True
Carmilla,J. Sheridan Le Fanu,Gothicism,10007,True
The Fall of the House of Usher,Edgar Allan Poe,Gothicism,932,True
The Vampyre,John William Polidori,Gothicism,6087,True
Transcendentalism in New England,Octavius B. Frothingham,Transcendentalism,38907,True
The Metamorphosis,Franz Kafka,Modernism,5200,True
A Portrait of the Artist as a Young Man,James Joyce,Modernism,4217,True
Ulysses,James Joyce,Modernism,4300,True
The Trial,Franz Kafka,Modernism,7849,True
The Great Gatsby,F. Scott Fitzgerald,Modernism,64317,True
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,Gothicism,2276,True
War and Peace,Leo Tolstoy,Realism,2600,True
Crime and Punishment,Fyodor Dostoevsky,Realism,2554,True
Adventures of Huckleberry Finn,Mark Twain,Realism,76,True
