GutenbergID,Expected_Title,Actual_Title,Author,Movement,Status,Similarity,URL,Text_Length
9371,The Praise of Folly,The Praise of Folly,Desiderius Erasmus,Renaissance,Match,100,https://www.gutenberg.org/files/9371/9371.txt,225727
16357,Mary: A Fiction,Mary,Mary Wollstonecraft,Romanticism,Match,100,https://www.gutenberg.org/files/16357/16357.txt,156404
37478,The Prose Writings of Heinrich Heine,The Prose Writings of Heinrich Heine,Heinrich Heine,Romanticism,Match,100,https://www.gutenberg.org/files/37478/37478.txt,650754
18247,The Last Man,The Last Man,Mary Shelley,Romanticism,Match,100,https://www.gutenberg.org/files/18247/18247-0.txt,1036090
2040,The Confessions of an English Opium-Eater,Confessions of an English Opium-Eater,Thomas De Quincey,Romanticism,Match,95,https://www.gutenberg.org/files/2040/2040-0.txt,241329
29433,Nature,Nature,Ralph Waldo Emerson,Transcendentalism,Match,100,https://www.gutenberg.org/files/29433/29433.txt,108736
1022,Walking,Walking,Henry David Thoreau,Transcendentalism,Match,100,https://www.gutenberg.org/cache/epub/1022/pg1022.txt,88405
3733,Bel-Ami,Bel Ami,Guy de Maupassant,Naturalism,Match,92,https://www.gutenberg.org/files/3733/3733.txt,313570
122,The Return of the Native,The Return of the Native,Thomas Hardy,Naturalism,Match,100,https://www.gutenberg.org/cache/epub/122/pg122.txt,819506
447,Maggie: A Girl of the Streets,Maggie: A Girl of the Streets,Stephen Crane,Naturalism,Match,100,https://www.gutenberg.org/files/447/447.txt,153967
165,McTeague,McTeague,Frank Norris,Naturalism,Match,100,https://www.gutenberg.org/files/165/165-0.txt,669307
233,Sister Carrie,Sister Carrie: A Novel,Theodore Dreiser,Naturalism,Match,100,https://www.gutenberg.org/cache/epub/233/pg233.txt,918619
284,The House of Mirth,The house of Mirth,Edith Wharton,Naturalism,Match,100,https://www.gutenberg.org/files/284/284-0.txt,763823
4517,Ethan Frome,Ethan Frome,Edith Wharton,Naturalism,Match,100,https://www.gutenberg.org/cache/epub/4517/pg4517.txt,211875
110,Tess of the d’Urbervilles,Tess of the d'Urbervilles: A Pure Woman,Thomas Hardy,Naturalism,Match,100,https://www.gutenberg.org/cache/epub/110/pg110.txt,878148
153,Jude the Obscure,Jude the Obscure,Thomas Hardy,Naturalism,Match,100,https://www.gutenberg.org/cache/epub/153/pg153.txt,836593
1056,Martin Eden,Martin Eden,Jack London,Naturalism,Match,100,https://www.gutenberg.org/cache/epub/1056/pg1056.txt,804431
2527,The Sorrows of Young Werther,The Sorrows of Young Werther,Johann Wolfgang von Goethe,Romanticism,Match,100,https://www.gutenberg.org/cache/epub/2527/pg2527.txt,259066
19806,Everyman,Everyman's Land,Anonymous,Renaissance,Mismatch,73,https://www.gutenberg.org/files/19806/19806.txt,595516
