Title,Author,Movement,GutenbergID,IsProse
"The Unfortunate Traveller, or The Life of Jack Wilton",Thomas Nash,Renaissance,21338,True
Cape Cod,Henry David Thoreau,Transcendentalism,34392,True
The Life of Lazarillo de Tormes,Anonymous,Renaissance,53489,True
"The Heptameron of Margaret, Queen of Navarre",Marguerite de Navarre,Renaissance,28858,True
"The Colloquies of Erasmus, Volume I.",Desiderius Erasmus,Renaissance,14031,True
"The Ship of Fools, Volume 1",Sebastian Brant,Renaissance,20179,True
The History of Don Quixote de la Mancha,Miguel de Cervantes,Renaissance,35993,True
The Autobiography of Benvenuto Cellini,Benvenuto Cellini,Renaissance,4028,True
"SHELLEY’S PROSE WORKS VOL. I.",Percy Bysshe Shelley,Romanticism,67925,True
Phantasus 1,Ludwig Tieck,Romanticism,50480,True
"Titan: A Romance v. 1 (of 2)",Jean Paul,Romanticism,35664,True
"Titan: A Romance. v. 2 (of 2)",Jean Paul,Romanticism,36403,True
The Analysis of Beauty,William Hogarth,Romanticism,51459,True
Society and Solitude: Twelve Chapters,Ralph Waldo Emerson,Transcendentalism,69258,True
Old John Brown,Walter Hawkins,Transcendentalism,2050,True
The Service,Henry David Thoreau,Transcendentalism,60951,True
Bronson Alcott's Fruitlands,Clara Endicott Sears,Transcendentalism,53683,True
"The Correspondence of Thomas Carlyle and Ralph Waldo Emerson, 1834-1872, Vol. I",Ralph Waldo Emerson,Transcendentalism,13583,True
Essays by Ralph Waldo Emerson,Ralph Waldo Emerson,Transcendentalism,16643,True
The Conduct of Life,Ralph Waldo Emerson,Transcendentalism,39827,True
"Essays — First Series",Ralph Waldo Emerson,Transcendentalism,2944,True
"Essays — Second Series",Ralph Waldo Emerson,Transcendentalism,2945,True
"On the Duty of Civil Disobedience",Henry David Thoreau,Transcendentalism,71,True
"Walden, and On The Duty Of Civil Disobedience",Transcendentalism,205,True
A Week on the Concord and Merrimack Rivers,Henry David Thoreau,Transcendentalism,4232,True
"Louisa May Alcott: Her Life, Letters, and Journals",Louisa May Alcott,Transcendentalism,38049,True
Woman in the Nineteenth Century,Margaret Fuller,Transcendentalism,8642,True
"Summer on the Lakes, in 1843",Margaret Fuller,Transcendentalism,11526,True
Lectures and Biographical Sketches,Ralph Waldo Emerson,Transcendentalism,75942,True
"The Spirit of the Age; Or, Contemporary Portraits",William Hazlitt,Romanticism,11068,True
Yvette,Guy de Maupassant,Naturalism,3664,True
Pierre & Jean,Guy de Maupassant,Naturalism,3804,True
The Mayor of Casterbridge,Thomas Hardy,Naturalism,143,True
"Just So Stories",Rudyard Kipling,Naturalism,2781,True
"Under the Greenwood Tree; Or, The Mellstock Quire",Thomas Hardy,Naturalism,2662,True
The Strength of the Strong,Jack London,Naturalism,1075,True
South Sea Tales,Jack London,Naturalism,1208,True
The Valley of the Moon,Jack London,Naturalism,1449,True
"When God Laughs and Other Stories",Jack London,Naturalism,2545,True
The Marrow of Tradition,Charles W. Chesnutt,Naturalism,11228,True
"The Red Badge of Courage: An Episode of the American Civil War",Stephen Crane,Naturalism,73,True
The Octopus: A Story of California,Frank Norris,Naturalism,268,True
Jennie Gerhardt,Theodore Dreiser,Naturalism,28988,True
The Financier: A Novel,Theodore Dreiser,Naturalism,1840,True
The Awakening and Selected Short Stories,Kate Chopin,Naturalism,160,True
The Iron Heel,Jack London,Naturalism,1164,True
The Book of the Courtier,Count Baldassare Castiglione,Renaissance,67799,True
Hero and Leander,Christopher Marlowe,Renaissance,18781,True
John Lyly,John Dover Wilson,Renaissance,22525,True
"Volpone; Or, The Fox",Ben Jonson,Renaissance,4039,True
Fortitude,Hugh Walpole,Gothicism,7887,True
The Romance of the Forest,Ann Radcliffe,Gothicism,64701,True
"The Italian, Volume 1: or, The Confessional of the Black Penitents",Ann Radcliffe,Gothicism,74643,True
"The Italian, Volume 2: or, The Confessional of the Black Penitents",Ann Radcliffe,Gothicism,74640,True
"The Abbess, or Memoirs of the Court of France",William Henry Ireland,Gothicism,70744,True
The Decameron of Giovanni Boccaccio,John Payne,Renaissance,23700,True
GARGANTUA AND HIS SON PANTAGRUEL,François Rabelais,Renaissance,1200,True
"Essays of Michel de Montaigne — Complete",Michel de Montaigne,Renaissance,3600,True
The Tragical History of Doctor Faustus,Christopher Marlowe,Renaissance,779,True
The Lusiads,Luís Vaz de Camões,Renaissance,32528,True
"Melmoth the Wanderer, Vol. 1",Charles Robert Maturin,Gothicism,53685,True
"Melmoth the Wanderer, Vol. 4",Charles Robert Maturin,Gothicism,53688,True
"Melmoth the Wanderer, Vol. 3",Charles Robert Maturin,Gothicism,53687,True
"Melmoth the Wanderer, Vol. 2",Charles Robert Maturin,Gothicism,53686,True
"Wieland; Or, The Transformation: An American Tale",Charles Brockden Brown,Gothicism,792,True
The Old English Baron,Clara Reeve,Gothicism,5182,True
Zanoni,Edward Bulwer-Lytton,Gothicism,2664,True
The Rise of Silas Lapham,William D. Howells,Realism,154,True
The Titan,Theodore Dreiser,Naturalism,3629,True
"Memoirs of Margaret Fuller Ossoli, Volume I",Margaret Fuller,Transcendentalism,13105,True
"Memoirs of Margaret Fuller Ossoli, Volume II",Margaret Fuller,Transcendentalism,13106,True
